mode,policy,num_examples,avg_utility,avg_quality,avg_cost,avg_latency,cloud_route_rate,routing_accuracy_vs_oracle,budget_penalty,avg_effective_cloud_cost,precision_cloud_vs_oracle,recall_cloud_vs_oracle,f1_cloud_vs_oracle,tn,fp,fn,tp,validation_tuned,pca_dim,ridge_alpha
quality_first,always_local,640,0.8792964220046997,0.893750011920929,0.0,0.7226778268814087,0.0,0.71875,0.0,0.1389634609222412,0.0,0.0,0.0,460,0,180,0,False,,
quality_first,always_cloud,640,0.9646837115287781,1.0,0.1389634609222412,1.4184032678604126,1.0,0.28125,0.1389634609222412,0.1389634609222412,0.28125,1.0,0.43902439024390244,0,460,0,180,False,,
quality_first,MLP,640,0.9045237302780151,0.9221875071525574,0.017211422324180603,0.8401615023612976,0.1640625,0.6671875,0.017211422324180603,0.1389634609222412,0.34285714285714286,0.2,0.2526315789473684,391,69,144,36,False,,
quality_first,utility_prediction,640,0.9649127721786499,1.0,0.13671648502349854,1.4125674962997437,0.9921875,0.2890625,0.13671648502349854,0.1389634609222412,0.28346456692913385,1.0,0.44171779141104295,5,455,0,180,True,16,0.1
quality_first,oracle,640,0.9799255132675171,1.0,0.036424241960048676,0.9126615524291992,0.28125,1.0,0.036424241960048676,0.1389634609222412,1.0,1.0,1.0,460,0,0,180,False,,
balanced,always_local,640,0.8576160669326782,0.893750011920929,0.0,0.7226778268814087,0.0,0.7203125,0.0,0.1389634609222412,0.0,0.0,0.0,461,0,179,0,False,,
balanced,always_cloud,640,0.9012870788574219,1.0,0.1389634609222412,1.4184032678604126,1.0,0.2796875,0.1389634609222412,0.1389634609222412,0.2796875,1.0,0.43711843711843706,0,461,0,179,False,,
balanced,MLP,640,0.876737117767334,0.9221875071525574,0.017211422324180603,0.8401615023612976,0.1640625,0.66875,0.017211422324180603,0.1389634609222412,0.34285714285714286,0.2011173184357542,0.2535211267605634,392,69,143,36,False,,
balanced,utility_prediction,640,0.9005725979804993,0.9765625,0.08767297118902206,1.1691057682037354,0.65625,0.4796875,0.08767297118902206,0.1389634609222412,0.31666666666666665,0.7430167597765364,0.4440734557595993,174,287,46,133,True,no_pca,100.0
balanced,oracle,640,0.9471124410629272,0.9996874928474426,0.035056937485933304,0.9112735986709595,0.2796875,1.0,0.035056937485933304,0.1389634609222412,1.0,1.0,1.0,461,0,0,179,False,,
cost_sensitive,always_local,640,0.8359357714653015,0.893750011920929,0.0,0.7226778268814087,0.0,0.728125,0.0,0.1389634609222412,0.0,0.0,0.0,466,0,174,0,False,,
cost_sensitive,always_cloud,640,0.8239942789077759,1.0,0.1389634609222412,1.4184032678604126,1.0,0.271875,0.1389634609222412,0.1389634609222412,0.271875,1.0,0.42751842751842745,0,466,0,174,False,,
cost_sensitive,MLP,640,0.8472293615341187,0.9221875071525574,0.017211422324180603,0.8401615023612976,0.1640625,0.6765625,0.017211422324180603,0.1389634609222412,0.34285714285714286,0.20689655172413793,0.2580645161290323,397,69,138,36,False,,
cost_sensitive,utility_prediction,640,0.8550851941108704,0.965624988079071,0.05921981483697891,1.048635721206665,0.48125,0.565625,0.05921981483697891,0.1389634609222412,0.33116883116883117,0.5862068965517241,0.4232365145228216,260,206,72,102,True,no_pca,1000.0
cost_sensitive,oracle,640,0.9112253189086914,0.9981249570846558,0.03234293684363365,0.9043159484863281,0.271875,1.0,0.03234293684363365,0.1389634609222412,1.0,1.0,1.0,466,0,0,174,False,,
